湖,水,lake,"コ、みずうみ ko, mizūmi",12
向,口,over there,"コウ、む-く、む-ける、む-かう、む-こう kō, mu-ku, mu-keru, mu-kau, mu-kō",6
幸,干,happiness,"コウ、さいわ-い、さち、しあわ-せ kō, saiwa-i, sachi, shiawa-se",8
港,水,harbor,"コウ、みなと kō, minato",12
号,虍,number,ゴウ gō,5
根,木,root,"コン、ね kon, ne",10
祭,示,festival,"サイ、まつ-る、まつ-り sai, matsu-ru, matsu-ri",11
皿,皿,dish,さら sara,5
仕,人,do,"シ、（ジ）、つか-える shi, (ji), tsuka-eru",5
死,歹,death,"シ、し-ぬ shi, shi-nu",6
使,人,use,"シ、つか-う shi, tsuka-u",8
始,女,begin,"シ、はじ-める、はじ-まる shi, haji-meru, haji-maru",8
指,手,finger,"シ、ゆび、さ-す shi, yubi, sa-su",9
歯,齒,tooth,"シ、は shi, ha",12
詩,言,poem,シ shi,13
次,欠,next,"ジ、シ、つ-ぐ、つぎ ji, shi, tsu-gu, tsugi",6
事,亅,abstract thing,"ジ、（ズ）、こと ji, (zu), koto",8
持,手,hold,"ジ、も-つ ji, mo-tsu",9
式,弋,style,シキ shiki,6
実,宀,truth,"ジツ、み、みの-る jitsu, mi, mino-ru",8
写,宀,copy,"シャ、うつ-す、うつ-る sha, utsu-su, utsu-ru",5
者,老,someone,"シャ、もの sha, mono",8
主,丶,master,"シュ、（ス）、ぬし、おも shu, (su), nushi, omo",5
守,宀,protect,"シュ、（ス）、まも-る、も-り shu, (su), mamo-ru, mo-ri",6
取,又,take,"シュ、と-る shu, to-ru",8
酒,酉,alcoholic drink,"シュ、さけ、（さか） shu, sake, (saka)",10
受,又,accept,"ジュ、う-ける、う-かる ju, u-keru, u-karu",8
州,巛,state,"シュウ、す shū, su",6
拾,手,pick up,"シュウ、ジュウ、ひろ-う shū, jū, hiro-u",9
終,糸,end,"シュウ、お-わる、お-える shū, o-waru, o-eru",11
習,羽,learn,"シュウ、なら-う shū, nara-u",11
集,隹,collect,"シュウ、あつ-まる、あつ-める、つど-う shū, atsu-maru, atsu-meru, tsudo-u",12
住,人,dwelling,"ジュウ、す-む、す-まう jū, su-mu, su-mau",7
重,里,heavy,"ジュウ、チョウ、え、おも-い、かさ-ねる、かさ-なる jū, chō, e, omo-i, kasa-neru, kasa-naru",9
宿,宀,inn,"シュク、やど、やど-る、やど-す shuku, yado, yado-ru, yado-su",11
所,戶,place,"ショ、ところ sho, tokoro",8
暑,日,hot,"ショ、あつ-い sho, atsu-i",12
助,力,help,"ジョ、たす-ける、たす-かる、すけ jo, tasu-keru, tasu-karu, suke",7
昭,日,shining,ショウ shō,9
消,水,extinguish,"ショウ、き-える、け-す shō, ki-eru, ke-su",10
商,口,sell,"ショウ、あきな-う shō, akina-u",11
章,立,chapter,ショウ shō,11
勝,力,win,"ショウ、か-つ、まさ-る shō, ka-tsu, masa-ru",12
乗,丿,ride,"ジョウ、の-る、の-せる jō, no-ru, no-seru",9
植,木,plant,"ショク、う-える、う-わる shoku, u-eru, u-waru",12
申,田,say,"シン、もう-す shin, mō-su",5
身,身,body,"シン、み shin, mi",7
神,示,god,"シン、ジン、かみ、（かん）、（こう） shin, jin, kami, (kan), (kō)",9
真,目,TRUE,"シン、ま shin, ma",10
深,水,deep,"シン、ふか-い、ふか-まる、ふか-める shin, fuka-i, fuka-maru, fuka-meru",11
進,辵,advance,"シン、すす-む、すす-める shin, susu-mu, susu-meru",11
世,一,world,"セイ、セ、よ sei, se, yo",5
整,攴,put in order,"セイ、ととの-える、ととの-う sei, totono-eru, totono-u",16
昔,日,long ago,"セキ、（シャク）、むかし seki, (shaku), mukashi",8
全,入,whole,"ゼン、まった-く、すべ-て zen, matta-ku, sube-te",6
相,目,mutual,"ソウ、ショウ、あい sō, shō, ai",9
送,辵,send,"ソウ、おく-る sō, oku-ru",9
想,心,concept,"ソウ、（ソ） sō, (so)",13
息,心,breath,"ソク、いき soku, iki",10
速,辵,fast,"ソク、はや-い、はや-める、はや-まる、すみ-やか soku, haya-i, haya-meru, haya-maru, sumi-yaka",10
族,方,tribe,ゾク zoku,11
他,人,other,"タ、ほか ta, hoka",5
打,手,hit,"ダ、う-つ da, u-tsu",5
対,寸,opposite,"タイ、ツイ tai, tsui",7
待,彳,wait,"タイ、ま-つ tai, ma-tsu",9
代,人,substitute,"ダイ、タイ、か-わる、か-える、よ、しろ dai, tai, ka-waru, ka-eru, yo, shiro",5
第,竹,ordinal number prefix,ダイ dai,11
題,頁,topic,ダイ dai,18
炭,火,charcoal,"タン、すみ tan, sumi",9
短,矢,short,"タン、みじか-い tan, mijika-i",12
談,言,discuss,ダン dan,15
着,羊,wear,"チャク、（ジャク）、き-る、き-せる、つ-く、つ-ける chaku, (jaku), ki-ru, ki-seru, tsu-ku, tsu-keru",12
注,水,pour,"チュウ、そそ-ぐ chū, soso-gu",8
柱,木,pillar,"チュウ、はしら chū, hashira",9
丁,一,ward,"チョウ、テイ chō, tei",2
帳,巾,account book,チョウ chō,11
調,言,investigate,"チョウ、しら-べる、ととの-う、ととの-える chō, shira-beru, totono-u, totono-eru",15
追,辵,follow,"ツイ、お-う tsui, o-u",9
定,宀,decide,"テイ、ジョウ、さだ-める、さだ-まる、さだ-か tei, jō, sada-meru, sada-maru, sada-ka",8
庭,广,garden,"テイ、にわ tei, niwa",10
笛,竹,flute,"テキ、ふえ teki, fue",11
鉄,金,iron,テツ tetsu,13
転,車,revolve,"テン、ころ-がる、ころ-げる、ころ-がす、ころ-ぶ ten, koro-garu, koro-geru, koro-gasu, koro-bu",11
都,邑,metropolis,"ト、ツ、みやこ to, tsu, miyako",11
度,广,degrees,"ド、（ト）、（タク）、たび do, (to), (taku), tabi",9
投,手,throw,"トウ、な-げる tō, na-geru",7
豆,豆,beans,"トウ、（ズ）、まめ tō, (zu), mame",7
島,山,island,"トウ、しま tō, shima",10
湯,水,hot water,"トウ、ゆ tō, yu",12
登,癶,climb,"トウ、ト、のぼ-る tō, to, nobo-ru",12
等,竹,class,"トウ、ひと-しい tō, hito-shii",12
動,力,move,"ドウ、うご-く、うご-かす dō, ugo-ku, ugo-kasu",11
童,立,juvenile,"ドウ、わらべ dō, warabe",12
農,辰,farming,ノウ nō,13
波,水,wave,"ハ、なみ ha, nami",8
配,酉,distribute,"ハイ、くば-る hai, kuba-ru",10
倍,人,double,バイ bai,10
箱,竹,box,はこ hako,15
畑,田,farm,"はた、はたけ hata, hatake",9
発,癶,departure,"ハツ、ホツ hatsu, hotsu",9
反,又,anti-,"ハン、（ホン）、（タン）、そ-る、そ-らす han, (hon), (tan), so-ru, so-rasu",4
坂,土,slope,"ハン、さか han, saka",7
板,木,board,"ハン、バン、いた han, ban, ita",8
皮,皮,skin,"ヒ、かわ hi, kawa",5
悲,心,sad,"ヒ、かな-しい、かな-しむ hi, kana-shii, kana-shimu",12
美,羊,beauty,"ビ、うつく-しい bi, utsuku-shii",9
鼻,鼻,nose,"ビ、はな bi, hana",14
筆,竹,writing brush,"ヒツ、ふで hitsu, fude",12
氷,水,ice,"ヒョウ、こおり、ひ hyō, koori, hi",5
表,衣,express,"ヒョウ、おもて、あらわ-す、あらわ-れる hyō, omote, arawa-su, arawa-reru",8
秒,禾,second (part of time),ビョウ byō,9
病,疒,sick,"ビョウ、（ヘイ）、や-む、やまい byō, (hei), ya-mu, yamai",10
品,口,article,"ヒン、しな hin, shina",9
負,貝,lose,"フ、ま-ける、ま-かす、お-う fu, ma-keru, ma-kasu, o-u",9
部,邑,part,ブ bu,11
服,月,clothes,フク fuku,8
福,示,luck,フク fuku,13
物,牛,thing,"ブツ、モツ、もの butsu, motsu, mono",8
平,干,flat,"ヘイ、ビョウ、たい-ら、ひら hei, byō, tai-ra, hira",5
返,辵,return,"ヘン、かえ-す、かえ-る hen, kae-su, kae-ru",7
勉,力,exertion,ベン ben,10
放,攴,release,"ホウ、はな-す、はな-つ、はな-れる、ほう-る hō, hana-su, hana-tsu, hana-reru, hō-ru",8
